Tenant,Location,Address,City,State,Ownership,Contact,Phone,Email,Notes
United Rentals,Arlington WA (Smokey Point),16632 Smokey Point Blvd,Arlington,WA,,,,,
United Rentals,Walla Walla WA (Dalles Military),1351 Dalles Military Rd,Walla Walla,WA,,,,,
United Rentals,Fife WA (54th Ave),1108 54th Ave E,Fife,WA,,,,,
United Rentals,East Wenatchee WA (Urban Industrial),291 Urban Industrial Wy E,East Wenatchee,WA,,,,,
United Rentals,Spokane Valley WA (Trench Safety - Dartmouth),2617 N Dartmouth Ln,Spokane Valley,WA,,,,,
United Rentals,Belgrade MT (Jackrabbit),5248 Jackrabbit Ln,Belgrade,MT,,,,,
United Rentals,Coos Bay OR (US-101),62530 US-101,Coos Bay,OR,,,,,
United Rentals,Corvallis OR (Webster),328 NE Webster Ave,Corvallis,OR,,,,,
United Rentals,Boise ID (Trench Safety - Targee),6851 W Targee St,Boise,ID,,,,,
United Rentals,Yakima WA (Rudkin),1808 Rudkin Rd,Yakima,WA,,,,,
United Rentals,Tukwila WA (W Valley Hwy),17700 W Valley Hwy,Tukwila,WA,,,,,
United Rentals,Enumclaw WA (WA-410),21514 WA-410,Enumclaw,WA,,,,,
United Rentals,Seattle WA (1st Ave S),5421 1st Ave S,Seattle,WA,,,,,
United Rentals,Boise ID (Power & HVAC - Cole),1855 S Cole Rd,Boise,ID,,,,,
United Rentals,Boise ID (Commercial Truck - S Business),6700 S Business Wy,Boise,ID,,,,,
United Rentals,Tumwater WA (Linderson Way),6070 Linderson Way SW,Tumwater,WA,,,,,
United Rentals,Portland OR (Tool Solutions - St Helens),4621 NW St Helens Rd,Portland,OR,,,,,
United Rentals,Portland OR (Trench Safety - NE Halsey),9050 NE Halsey St,Portland,OR,,,,,
United Rentals,Portland OR (Commercial Truck - Columbia),3836 NE Columbia Blvd,Portland,OR,,,,,
United Rentals,Portland OR (Fluid Solutions - SE 101st),6400 SE 101st Ave,Portland,OR,,,,,
United Rentals,Renton WA (Power & HVAC - Lind),3400 Lind Ave SW,Renton,WA,,,,,
United Rentals,Tacoma WA (Storage - Marine View),2502 Marine View Dr,Tacoma,WA,,,,,
United Rentals,Kent WA (Comm & Industrial Blinds - S 227th),7235 S 227th Pl Ste 101,Kent,WA,,,,,
United Rentals,Portland OR (Electrical Solutions - NE Halsey),17401 NE Halsey St Ste A,Portland,OR,,,,,
United Rentals,Boise ID (Climate Solutions - Gowen),6406 W Gowen Rd,Boise,ID,,,,,
United Rentals,Kennewick WA (Power & HVAC - N Morain),120 N Morain St,Kennewick,WA,,,,,
United Rentals,Boise ID (Reliable Onsite - Victory),7126 W Victory Rd,Boise,ID,,,,,
United Rentals,Spokane Valley WA (Climate Solutions - N Mamer),1620 N Mamer Rd Ste 103,Spokane Valley,WA,,,,,
United Rentals,Fresno CA (Toyota),5741 Toyota Pl,Fresno,CA,,,,,
United Rentals,Corona CA (Maple),525 S Maple St,Corona,CA,,,,,
United Rentals,Sparks NV (Glendale),790 Glendale Ave,Sparks,NV,,,,,
United Rentals,Carson City NV (Deer Run),3223 N Deer Run Rd,Carson City,NV,,,,,
United Rentals,Riverside CA (La Cadena),520 E La Cadena Dr,Riverside,CA,,,,,
United Rentals,Bullhead City AZ (Silver Creek),2250 Silver Creek Rd,Bullhead City,AZ,,,,,
United Rentals,Menifee CA (CA-74),28261 CA-74,Menifee,CA,,,,,
United Rentals,Anaheim CA (State College),1301 S State College Blvd,Anaheim,CA,,,,,
United Rentals,Gardnerville NV (US-395),1247 U.S. Hwy 395 N,Gardnerville,NV,,,,,
United Rentals,Burbank CA (Orange Grove),231 W Orange Grove Ave,Burbank,CA,,,,,
United Rentals,Flagstaff AZ (Huntington),2678 E Huntington Dr,Flagstaff,AZ,,,,,
United Rentals,Visalia CA (Ben Maddox),925 N Ben Maddox Way,Visalia,CA,,,,,
United Rentals,Carson CA (Mariner),19521 Mariner Ave,Carson,CA,,,,,
United Rentals,Bakersfield CA (Petrol),34929 Petrol Rd,Bakersfield,CA,,,,,
United Rentals,Turlock CA (South Ave),1400 South Ave,Turlock,CA,,,,,
United Rentals,Sun Valley CA (Haddon),8450 Haddon Ave,Sun Valley,CA,,,,,
United Rentals,Rocklin CA (Pacific),4700 Pacific St,Rocklin,CA,,,,,
United Rentals,Hesperia CA (Mariposa),11612 Mariposa Rd,Hesperia,CA,,,,,
United Rentals,Las Vegas NV (Dean Martin),5915 Dean Martin Dr,Las Vegas,NV,,,,,
United Rentals,Stockton CA (E Fremont),2911 E Fremont St,Stockton,CA,,,,,
United Rentals,Albuquerque NM (Menaul),2401 Menaul Blvd NE,Albuquerque,NM,,,,,
United Rentals,Pueblo CO (Santa Fe Dr),221 Santa Fe Dr,Pueblo,CO,,,,,
United Rentals,Roswell NM (Roswell Hwy),7217 Roswell Hwy,Roswell,NM,,,,,
United Rentals,Globe AZ (US-70),1060 E U.S. Hwy 70,Globe,AZ,,,,,
United Rentals,Fort Collins CO (Frontage Rd),1926 SE Frontage Rd,Fort Collins,CO,,,,,
United Rentals,Tucson AZ (Casa Grande Hwy),4995 N Casa Grande Hwy,Tucson,AZ,,,,,
United Rentals,Hobbs NM (Commerce),1901 Commerce Dr,Hobbs,NM,,,,,
United Rentals,Montrose CO (Camelot),4068 Camelot Cir,Montrose,CO,,,,,
United Rentals,Rock Springs WY (Rockies),1101 Rockies Cir,Rock Springs,WY,,,,,
United Rentals,Commerce City CO (Alton),9700 Alton St,Commerce City,CO,,,,,
United Rentals,Las Cruces NM (Avenida de Mesilla),1401 Avenida de Mesilla,Las Cruces,NM,,,,,
United Rentals,Clovis NM (Santa Fe Ave),1016 Santa Fe Ave,Clovis,NM,,,,,
United Rentals,Farmington NM (Browning),171 Browning Pkwy,Farmington,NM,,,,,
United Rentals,Alamosa CO (CO-3),969 CO-3,Alamosa,CO,,,,,
United Rentals,Cheyenne WY (Allison),1801 E Allison Rd,Cheyenne,WY,,,,,
United Rentals,Amarillo TX (I-40),3900 I-40,Amarillo,TX,,,,,
United Rentals,Santa Fe NM (Cerrillos),2707 Cerrillos Rd,Santa Fe,NM,,,,,
United Rentals,South Salt Lake UT (S 300 W),2795 S 300 W,Salt Lake City,UT,,,,,
United Rentals,Scottsdale AZ (Greenway),6929 E Greenway Pkwy #200,Scottsdale,AZ,,,,,
United Rentals,Glenwood Springs CO (Chambers),1045 Chambers Ave,Glenwood Springs,CO,,,,,
United Rentals,Denver CO (Washington),5478 Washington St,Denver,CO,,,,,
United Rentals,Mason City IA (4th Ave S),2150 4th Ave S,Mason City,IA,,,,,
United Rentals,Casper WY (Yellowstone),5103 W Yellowstone Hwy,Casper,WY,,,,,
United Rentals,Mesa AZ (Baseline),215 E Baseline Rd,Mesa,AZ,,,,,
United Rentals,Odessa TX (S County Rd W),3249 S County Rd W,Odessa,TX,,,,,
United Rentals,Westminster CO (Carder),8080 Carder Ct,Westminster,CO,,,,,
United Rentals,Lubbock TX (SE Loop 289),317 SE Loop 289,Lubbock,TX,,,,,
United Rentals,Denver CO (Zuni),1250 Zuni St,Denver,CO,,,,,
United Rentals,Colorado Springs CO (Terminal),6050 Terminal Ave,Colorado Springs,CO,,,,,
United Rentals,Pratt KS (Mary),2208 W Mary St,Pratt,KS,,,,,
United Rentals,Ankeny IA (Power & HVAC - NW Main),1308 NW Main St,Ankeny,IA,,,,,
United Rentals,Cedar City UT (E 900 N),25 E 900 N,Cedar City,UT,,,,,
United Rentals,El Paso TX (Gtwy Blvd),8280 Gtwy Blvd E,El Paso,TX,,,,,
United Rentals,Show Low AZ (Deuce of Clubs),3461 E Deuce of Clubs,Show Low,AZ,,,,,
United Rentals,Phoenix AZ (S Black Canyon),1403 S Black Canyon Hwy,Phoenix,AZ,,,,,
United Rentals,Surprise AZ (Williams),2210 W Williams Dr,Surprise,AZ,,,,,
United Rentals,Denver CO (E 40th),11250 E 40th Ave,Denver,CO,,,,,
United Rentals,Garden City KS (Pancake),506 E Pancake Blvd,Garden City,KS,,,,,
United Rentals,Odessa TX (Fluid Solutions - Faudree),1151 S Faudree Rd,Odessa,TX,,,,,
United Rentals,Phoenix AZ (Trench Safety - N 27th),1139 N 27th Ave,Phoenix,AZ,,,,,
United Rentals,Albuquerque NM (Storage - Pan American),3120 Pan American Fwy,Albuquerque,NM,,,,,
United Rentals,Grand Junction CO (Interstate),2316 Interstate Ave,Grand Junction,CO,,,,,
United Rentals,Dallas TX (University),6301 W University Dr,Dallas,TX,,,,,
United Rentals,Phoenix AZ (Roosevelt),9650 W Roosevelt St,Phoenix,AZ,,,,,
United Rentals,Dodge City KS (Airport),911 Airport Rd,Dodge City,KS,,,,,
United Rentals,Globe AZ (US-60),3596 US-60,Globe,AZ,,,,,
United Rentals,Henderson NV (Aerial - Sunset),777 W Sunset Rd,Henderson,NV,,,,,
United Rentals,Salt Lake City UT (W 500 N),2151 W 500 N,Salt Lake City,UT,,,,,
United Rentals,Casa Grande AZ (Pinal),1429 N Pinal Ave,Casa Grande,AZ,,,,,
United Rentals,Denver CO (Trench Safety - E 64th),791 E 64th Ave,Denver,CO,,,,,
United Rentals,Carlsbad NM (National Parks),5022 National Parks Hwy,Carlsbad,NM,,,,,
United Rentals,Salt Lake City UT (S 500 W),1890 S 500 W,Salt Lake City,UT,,,,,
United Rentals,Denver CO (Flooring & Facility - Washington),5478 Washington St Unit B,Denver,CO,,,,,
United Rentals,Yuma AZ (E 16th),2720 E 16th St Ste 1,Yuma,AZ,,,,,
United Rentals,Aurora CO (Iliff),8401 E Iliff Ave,Aurora,CO,,,,,
United Rentals,Allen TX (E Main),737 E Main St,Allen,TX,,,,,
United Rentals,West Valley City UT (Trench Safety - Pioneer),1135 Pioneer Rd,West Valley City,UT,,,,,
